Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-09-29 11:25:13,2018-09-29 11:56:48,31m - 34.884s,PASSED
,,,,,,
Test Cases/Shop/TC09_ScheduleSale_LimitStock_SimpleProduct,Chrome 69.0.3497.100,,2018-09-29 11:25:14,2018-09-29 11:33:55,8m - 41.645s,PASSED
Statement - productName = SCHEDULE_SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.065s,PASSED
Statement - regularPrice = SCHEDULE_REGULAR_PRICE,Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.019s,PASSED
Statement - salePrice = SCHEDULE_SALE_PRICE,Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.036s,PASSED
Statement - quantity = 6,Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.086s,PASSED
"Statement - subtotalRegular = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, regularPrice)",Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.245s,PASSED
"Statement - subtotalSale = CustomKeywords.beautytap.ShopAction.calculateTotal(1, salePrice)",Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.012s,PASSED
"Statement - shippingType = ""free""",Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.032s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.011s,PASSED
"Statement - shippingTypeSale = ""normal""",Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.000s,PASSED
Statement - shippingLabelSale = SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-29 11:25:15,2018-09-29 11:25:15,0.006s,PASSED
