Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shop,Chrome 68.0.3440.106,,2018-09-05 12:55:38,2018-09-05 13:07:19,11m - 41.093s,PASSED
,,,,,,
Test Cases/Shop/TC03_Search_SimpleProduct_Sale_Creditcard_LessThan60_Normal,Chrome 68.0.3440.106,,2018-09-05 12:55:39,2018-09-05 12:58:22,2m - 42.849s,PASSED
Statement - productName = SIMPLE_SALE_PRODUCT,Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.082s,PASSED
"Statement - searchName = productName.substring(0, productName.indexOf(""/""))",Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.030s,PASSED
Statement - saleprice = SIMPLE_SALE_PRICE,Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.035s,PASSED
Statement - regularprice = SIMPLE_SALE_REGULAR_PRICE,Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.038s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.069s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.060s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.154s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.196s,PASSED
Statement - quantity = 1,Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.022s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, saleprice)",Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:40,0.093s,PASSED
Statement - total = subtotal + SHIPPING_PRICE,Chrome 68.0.3440.106,,2018-09-05 12:55:40,2018-09-05 12:55:41,0.025s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:41,0.032s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + saleprice) + ""}]))",Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:41,0.060s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:41,0.023s,PASSED
Statement - shippingLabel = SHIPPING_LABEL,Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:41,0.037s,PASSED
Statement - shippingPrice = SHIPPING_PRICE,Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:41,0.017s,PASSED
"Statement - shippingType = ""normal""",Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:41,0.015s,PASSED
"Statement - paymentMethod = ""Credit Card Payment""",Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:41,0.010s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 68.0.3440.106,,2018-09-05 12:55:41,2018-09-05 12:55:59,18.232s,PASSED
beautytap.ShopAction.globalSearch,Chrome 68.0.3440.106,,2018-09-05 12:55:59,2018-09-05 12:56:08,9.003s,PASSED
beautytap.ShopAction.VerifyProductOnSearchResult,Chrome 68.0.3440.106,VP1: Verify product display in search result panel with regular price,2018-09-05 12:56:08,2018-09-05 12:56:09,0.601s,PASSED
beautytap.ShopAction.selectProductOnSearchResult,Chrome 68.0.3440.106,,2018-09-05 12:56:09,2018-09-05 12:56:14,5.556s,PASSED
beautytap.ShopAction.VerifyProductDetails,Chrome 68.0.3440.106,VP2: Verify product detail page display with regular price,2018-09-05 12:56:14,2018-09-05 12:56:15,0.407s,PASSED
Statement - currentNumberItemInCart = CustomKeywords.beautytap.ShopAction.getNumberItemInCart(),Chrome 68.0.3440.106,,2018-09-05 12:56:15,2018-09-05 12:56:46,31.628s,PASSED
beautytap.ShopAction.addProductToCart,Chrome 68.0.3440.106,,2018-09-05 12:56:46,2018-09-05 12:56:53,6.570s,PASSED
beautytap.ShopAction.VerifyNumberItemInCart,Chrome 68.0.3440.106,VP3:Verify product is added to card: cart number increase and message display “PRODUCT_NAME” has been added to your cart.,2018-09-05 12:56:53,2018-09-05 12:56:53,0.179s,PASSED
beautytap.ShopAction.VerifyProductIsAddedToCart,Chrome 68.0.3440.106,,2018-09-05 12:56:53,2018-09-05 12:57:24,31.457s,PASSED
beautytap.ShopAction.goToCart,Chrome 68.0.3440.106,,2018-09-05 12:57:24,2018-09-05 12:57:30,5.778s,PASSED
beautytap.ShopAction.VerifyProductInCart,Chrome 68.0.3440.106,VP4:Verify product is added to cart with correct price and quantity,2018-09-05 12:57:30,2018-09-05 12:57:30,0.338s,PASSED
beautytap.ShopAction.processToCheckout,Chrome 68.0.3440.106,,2018-09-05 12:57:30,2018-09-05 12:57:35,4.164s,PASSED
beautytap.ShopAction.fillCustomerInformation,Chrome 68.0.3440.106,,2018-09-05 12:57:35,2018-09-05 12:57:51,16.360s,PASSED
beautytap.ShopAction.VerifyOrderDetailsOnCheckout,Chrome 68.0.3440.106,VP5: Verify order details on checkout page,2018-09-05 12:57:51,2018-09-05 12:57:52,0.576s,PASSED
