Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shop,Chrome 69.0.3497.100,,2018-09-21 15:26:21,2018-09-21 15:36:07,9m - 45.867s,PASSED
,,,,,,
Test Cases/Shop/TC07_BuyProduct_EarnPendingPoint_EarnRedeemablePoint,Chrome 69.0.3497.100,"1. Login as user
2. Go to My Rewoard get current multiplier, lifetime, pending, redeemable points, point value
3. By a product then process to checkout
VP1: Verify reward on checkout page: Rewards earned = (subtotal-discount)*multiplier
4. Checkout
VP2: Verify reward on Order received page: Rewards earned = (subtotal-discount)*multiplier
5. Go to Reward page
VP3: Verify reward detail: lifetime:notchange,pending=current pending+reward, redeemable:notchange,point value: not change
VP4: Verify reward history: 1 row with sataut pending,1 row with status processing
6. Login as Admin
7. Change order status to complete
8. Login as user
VP5: Verify notification order complete
VP6: Verify email order complete with reward point
9. Go to reward page
VP7: Verify reward detail: lifetime=lifetime+reward,pending=pending-reward, redeemable=redeemable+reward,point value: associate with reward
VP8: Verify reward history: 1 row with sataut complete
",2018-09-21 15:26:21,2018-09-21 15:31:26,5m - 4.762s,PASSED
Statement - username = USER_EMAIL,Chrome 69.0.3497.100,,2018-09-21 15:26:22,2018-09-21 15:26:22,0.051s,PASSED
Statement - password = USER_PASSWORD,Chrome 69.0.3497.100,,2018-09-21 15:26:22,2018-09-21 15:26:22,0.063s,PASSED
Statement - productName = SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-09-21 15:26:22,2018-09-21 15:26:22,0.021s,PASSED
Statement - price = SIMPLE_PRODUCT_PRICE,Chrome 69.0.3497.100,,2018-09-21 15:26:22,2018-09-21 15:26:22,0.015s,PASSED
Statement - quantity = 3,Chrome 69.0.3497.100,,2018-09-21 15:26:22,2018-09-21 15:26:22,0.037s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:23,0.014s,PASSED
Statement - shippingPrice = 0,Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:23,0.008s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, price)",Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:23,0.157s,PASSED
Statement - total = subtotal + shippingPrice,Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:23,0.053s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + price) + ""}]))",Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:23,0.032s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + username) + ""}))",Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:23,0.128s,PASSED
"Statement - paymentMethod = ""PayPal""",Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:23,0.029s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-21 15:26:23,2018-09-21 15:26:54,30.784s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-21 15:26:54,2018-09-21 15:26:57,3.127s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-21 15:26:57,2018-09-21 15:26:58,1.261s,PASSED
beautytap.GeneralAction.selectProfileMenu,Chrome 69.0.3497.100,,2018-09-21 15:26:58,2018-09-21 15:27:13,14.376s,PASSED
Statement - objReward = CustomKeywords.beautytap.ShopAction.getRewardDetails(),Chrome 69.0.3497.100,"Get current multiplier, lifetime, pending, redeemable points, point value",2018-09-21 15:27:13,2018-09-21 15:27:13,0.556s,PASSED
"Statement - multiplier = java.lang.Float.parseFloat(objReward.get(""multiplier""))",Chrome 69.0.3497.100,,2018-09-21 15:27:13,2018-09-21 15:27:13,0.015s,PASSED
