Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shop,Chrome 68.0.3440.106,,2018-09-14 15:57:14,2018-09-14 16:16:30,19m - 15.519s,PASSED
,,,,,,
Test Cases/Shop/TC03_Search_SimpleProduct_Sale_Creditcard_LessThan60_Normal,Chrome 68.0.3440.106,,2018-09-14 15:57:15,2018-09-14 15:59:57,2m - 41.942s,PASSED
Statement - productName = SIMPLE_SALE_PRODUCT,Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:16,0.045s,PASSED
"Statement - searchName = productName.substring(0, productName.indexOf(""/""))",Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:16,0.040s,PASSED
Statement - saleprice = SIMPLE_SALE_PRICE,Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:16,0.050s,PASSED
Statement - regularprice = SIMPLE_SALE_REGULAR_PRICE,Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:16,0.027s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:16,0.369s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:16,0.032s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:16,0.033s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 68.0.3440.106,,2018-09-14 15:57:16,2018-09-14 15:57:17,0.216s,PASSED
Statement - quantity = 1,Chrome 68.0.3440.106,,2018-09-14 15:57:17,2018-09-14 15:57:17,0.016s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, saleprice)",Chrome 68.0.3440.106,,2018-09-14 15:57:17,2018-09-14 15:57:17,0.155s,PASSED
