Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-17 11:41:17,2018-10-17 12:29:21,48m - 3.255s,PASSED
,,,,,,
Test Cases/Shop/TC09_ScheduleSale_LimitStock_SimpleProduct,Chrome 69.0.3497.100,,2018-10-17 11:41:18,2018-10-17 11:53:45,12m - 26.680s,PASSED
Statement - productName = SCHEDULE_SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-10-17 11:41:19,2018-10-17 11:41:19,0.047s,PASSED
Statement - regularPrice = SCHEDULE_REGULAR_PRICE,Chrome 69.0.3497.100,,2018-10-17 11:41:19,2018-10-17 11:41:19,0.043s,PASSED
Statement - salePrice = SCHEDULE_SALE_PRICE,Chrome 69.0.3497.100,,2018-10-17 11:41:19,2018-10-17 11:41:19,0.014s,PASSED
Statement - quantity = 6,Chrome 69.0.3497.100,,2018-10-17 11:41:19,2018-10-17 11:41:19,0.016s,PASSED
"Statement - subtotalRegular = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, regularPrice)",Chrome 69.0.3497.100,,2018-10-17 11:41:19,2018-10-17 11:41:20,0.097s,PASSED
"Statement - subtotalSale = CustomKeywords.beautytap.ShopAction.calculateTotal(1, salePrice)",Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.014s,PASSED
"Statement - shippingType = ""free""",Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.014s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.022s,PASSED
"Statement - shippingTypeSale = ""normal""",Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.012s,PASSED
Statement - shippingLabelSale = SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.012s,PASSED
Statement - shippingPriceSale = SHIPPING_PRICE,Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.014s,PASSED
"Statement - totalSale = java.lang.Float.parseFloat(java.lang.String.format(""%.2f"", subtotalSale + shippingPriceSale))",Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.008s,PASSED
Statement - schedulTimeout = 300,Chrome 69.0.3497.100,,2018-10-17 11:41:20,2018-10-17 11:41:20,0.034s,PASSED
