Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Chrome 69.0.3497.100,,2018-09-19 17:31:50,2018-09-19 17:46:31,14m - 40.385s,FAILED
,,,,,,
Test Cases/SignUp_Login_ResetPass/TC02_SignUp_Login_ViaFacebookEmail_NewUser_OldUser,Chrome 69.0.3497.100,,2018-09-19 17:31:51,2018-09-19 17:37:26,5m - 34.788s,PASSED
beautytap.AdminAction.deleteUser,Chrome 69.0.3497.100,,2018-09-19 17:31:52,2018-09-19 17:32:35,43.001s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 17:32:35,2018-09-19 17:33:09,34.331s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,SIGNUP VIA FACEBOOK NOT EXIST IN SYSTEM,2018-09-19 17:33:09,2018-09-19 17:33:13,3.833s,PASSED
beautytap.GeneralAction.signupViaFacebook,Chrome 69.0.3497.100,,2018-09-19 17:33:13,2018-09-19 17:33:43,30.201s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP1: Verify user is logged in after Signup via Facebook,2018-09-19 17:33:43,2018-09-19 17:33:43,0.096s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 17:33:43,2018-09-19 17:33:49,6.273s,PASSED
beautytap.AdminAction.deleteUser,Chrome 69.0.3497.100,LOGIN VIA FACEBOOK NOT EXIST IN SYSTEM,2018-09-19 17:33:49,2018-09-19 17:34:32,42.348s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 17:34:32,2018-09-19 17:35:07,35.268s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 17:35:07,2018-09-19 17:35:10,2.638s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-19 17:35:10,2018-09-19 17:35:14,4.068s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP2: Verify user is logged in via Facebook ,2018-09-19 17:35:14,2018-09-19 17:35:38,23.895s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 17:35:38,2018-09-19 17:35:39,1.488s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,SIGNUP VIA FACEBOOK ALREADY EXIST IN SYSTEM,2018-09-19 17:35:39,2018-09-19 17:36:03,23.810s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 17:36:03,2018-09-19 17:36:05,2.285s,PASSED
beautytap.GeneralAction.signupViaFacebook,Chrome 69.0.3497.100,,2018-09-19 17:36:05,2018-09-19 17:36:27,22.364s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP3: Verify user is logged in after Signup via Facebook,2018-09-19 17:36:27,2018-09-19 17:36:28,0.077s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 17:36:28,2018-09-19 17:36:30,2.400s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,LOGIN VIA FACEBOOK ALREADY EXIST IN SYSTEM,2018-09-19 17:36:30,2018-09-19 17:37:04,33.568s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 17:37:04,2018-09-19 17:37:07,3.162s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-19 17:37:07,2018-09-19 17:37:11,4.626s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP4: Verify user is logged in via Facebook,2018-09-19 17:37:11,2018-09-19 17:37:21,10.021s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 17:37:21,2018-09-19 17:37:23,2.036s,PASSED
,,,,,,
Test Cases/Shop/TC07_BuyProduct_EarnPendingPoint_EarnRedeemablePoint,Chrome 69.0.3497.100,"1. Login as user
2. Go to My Rewoard get current multiplier, lifetime, pending, redeemable points, point value
3. By a product then process to checkout
VP1: Verify reward on checkout page: Rewards earned = (subtotal-discount)*multiplier
4. Checkout
VP2: Verify reward on Order received page: Rewards earned = (subtotal-discount)*multiplier
5. Go to Reward page
VP3: Verify reward detail: lifetime:notchange,pending=current pending+reward, redeemable:notchange,point value: not change
VP4: Verify reward history: 1 row with sataut pending,1 row with status processing
6. Login as Admin
7. Change order status to complete
8. Login as user
VP5: Verify notification order complete
VP6: Verify email order complete with reward point
9. Go to reward page
VP7: Verify reward detail: lifetime=lifetime+reward,pending=pending-reward, redeemable=redeemable+reward,point value: associate with reward
VP8: Verify reward history: 1 row with sataut complete
",2018-09-19 17:37:26,2018-09-19 17:42:29,5m - 3.512s,FAILED
Statement - username = USER_EMAIL,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.011s,PASSED
Statement - password = USER_PASSWORD,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.013s,PASSED
Statement - productName = SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.011s,PASSED
Statement - price = SIMPLE_PRODUCT_PRICE,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.015s,PASSED
Statement - quantity = 3,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.024s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.007s,PASSED
Statement - shippingPrice = 0,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.005s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, price)",Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.074s,PASSED
Statement - total = subtotal + shippingPrice,Chrome 69.0.3497.100,,2018-09-19 17:37:26,2018-09-19 17:37:26,0.010s,PASSED
