Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-08 13:31:17,2018-10-08 14:10:57,39m - 39.918s,PASSED
,,,,,,
Test Cases/Shop/TC09_ScheduleSale_LimitStock_SimpleProduct,Chrome 69.0.3497.100,,2018-10-08 13:31:18,2018-10-08 13:42:37,11m - 19.479s,PASSED
Statement - productName = SCHEDULE_SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.093s,PASSED
Statement - regularPrice = SCHEDULE_REGULAR_PRICE,Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.071s,PASSED
Statement - salePrice = SCHEDULE_SALE_PRICE,Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.030s,PASSED
Statement - quantity = 6,Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.038s,PASSED
"Statement - subtotalRegular = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, regularPrice)",Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.222s,PASSED
"Statement - subtotalSale = CustomKeywords.beautytap.ShopAction.calculateTotal(1, salePrice)",Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.081s,PASSED
"Statement - shippingType = ""free""",Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.146s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:20,0.142s,PASSED
"Statement - shippingTypeSale = ""normal""",Chrome 69.0.3497.100,,2018-10-08 13:31:20,2018-10-08 13:31:21,0.153s,PASSED
Statement - shippingLabelSale = SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.016s,PASSED
Statement - shippingPriceSale = SHIPPING_PRICE,Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.017s,PASSED
"Statement - totalSale = java.lang.Float.parseFloat(java.lang.String.format(""%.2f"", subtotalSale + shippingPriceSale))",Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.114s,PASSED
Statement - schedulTimeout = 300,Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.026s,PASSED
"Statement - limitStockSchedule = ""yes""",Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.020s,PASSED
Statement - variation = new org.json.JSONArray(),Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.037s,PASSED
Statement - scheduleDelay = 4,Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.025s,PASSED
Statement - scheduleDuration = 4,Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.014s,PASSED
"Statement - paymentMethod = ""Amazon Pay""",Chrome 69.0.3497.100,,2018-10-08 13:31:21,2018-10-08 13:31:21,0.015s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,Login as Admin,2018-10-08 13:31:21,2018-10-08 13:31:40,18.851s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-10-08 13:31:40,2018-10-08 13:31:54,13.789s,PASSED
beautytap.AdminAction.selectAdminMenu,Chrome 69.0.3497.100,,2018-10-08 13:31:54,2018-10-08 13:32:02,8.790s,PASSED
"Statement - datetime = CustomKeywords.beautytap.ShopAction.generateScheduleDateTime(TIMEZONE, scheduleDelay, scheduleDuration)",Chrome 69.0.3497.100,,2018-10-08 13:32:02,2018-10-08 13:32:02,0.074s,PASSED
"Statement - startDate = datetime.get(""startdate"")",Chrome 69.0.3497.100,,2018-10-08 13:32:02,2018-10-08 13:32:02,0.013s,PASSED
"Statement - endDate = datetime.get(""enddate"")",Chrome 69.0.3497.100,,2018-10-08 13:32:02,2018-10-08 13:32:02,0.009s,PASSED
beautytap.AdminAction.scheduleSaleProduct,Chrome 69.0.3497.100,,2018-10-08 13:32:02,2018-10-08 13:33:04,1m - 1.617s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-08 13:33:04,2018-10-08 13:33:05,1.050s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,"VP1: Verify before schedule, regular price display on Search result",2018-10-08 13:33:05,2018-10-08 13:33:34,28.524s,PASSED
beautytap.ShopAction.globalSearch,Chrome 69.0.3497.100,,2018-10-08 13:33:34,2018-10-08 13:33:45,10.974s,PASSED
beautytap.ShopAction.VerifyProductOnSearchResult,Chrome 69.0.3497.100,,2018-10-08 13:33:45,2018-10-08 13:33:45,0.009s,PASSED
beautytap.ShopAction.selectSearchResult,Chrome 69.0.3497.100,"VP2: Verify before schedule, regular price display on Product Detail",2018-10-08 13:33:45,2018-10-08 13:33:50,5.093s,PASSED
beautytap.ShopAction.VerifyProductDetails,Chrome 69.0.3497.100,,2018-10-08 13:33:50,2018-10-08 13:33:50,0.700s,PASSED
beautytap.ShopAction.selectCategory,Chrome 69.0.3497.100,"VP3: Verify before schedule, regular price display on Product List",2018-10-08 13:33:50,2018-10-08 13:33:57,6.666s,PASSED
beautytap.ShopAction.findProductOnProductList,Chrome 69.0.3497.100,,2018-10-08 13:33:57,2018-10-08 13:34:12,14.859s,PASSED
beautytap.ShopAction.VerifyProductOnProductList,Chrome 69.0.3497.100,,2018-10-08 13:34:12,2018-10-08 13:34:12,0.202s,PASSED
beautytap.ShopAction.selectProductOnProductList,Chrome 69.0.3497.100,Add product to cart,2018-10-08 13:34:12,2018-10-08 13:34:17,4.574s,PASSED
beautytap.ShopAction.addProductToCart,Chrome 69.0.3497.100,,2018-10-08 13:34:17,2018-10-08 13:34:23,6.273s,PASSED
beautytap.ShopAction.goToCart,Chrome 69.0.3497.100,Go to cart,2018-10-08 13:34:23,2018-10-08 13:34:28,5.323s,PASSED
