Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Chrome 69.0.3497.100,,2018-09-20 17:24:40,2018-09-20 17:27:37,2m - 56.817s,PASSED
,,,,,,
Test Cases/Shop/TC04_Search_VariationProduct_NotSale_AmazonPay_GreaterThan200,Chrome 69.0.3497.100,,2018-09-20 17:24:42,2018-09-20 17:27:37,2m - 54.887s,PASSED
Statement - productName = VARIATION_PRODUCT,Chrome 69.0.3497.100,,2018-09-20 17:24:47,2018-09-20 17:24:47,0.407s,PASSED
Statement - price = VARIATION_PRICE1,Chrome 69.0.3497.100,,2018-09-20 17:24:47,2018-09-20 17:24:48,0.274s,PASSED
Statement - variation = VARIATION_NAME1,Chrome 69.0.3497.100,,2018-09-20 17:24:48,2018-09-20 17:24:48,0.046s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 69.0.3497.100,,2018-09-20 17:24:48,2018-09-20 17:24:48,0.089s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 69.0.3497.100,,2018-09-20 17:24:48,2018-09-20 17:24:48,0.143s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 69.0.3497.100,,2018-09-20 17:24:48,2018-09-20 17:24:48,0.189s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 69.0.3497.100,,2018-09-20 17:24:48,2018-09-20 17:24:48,0.015s,PASSED
Statement - quantity = 8,Chrome 69.0.3497.100,,2018-09-20 17:24:48,2018-09-20 17:24:48,0.174s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, price)",Chrome 69.0.3497.100,,2018-09-20 17:24:48,2018-09-20 17:24:49,0.217s,PASSED
Statement - total = subtotal,Chrome 69.0.3497.100,,2018-09-20 17:24:49,2018-09-20 17:24:49,0.165s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 69.0.3497.100,,2018-09-20 17:24:49,2018-09-20 17:24:49,0.077s,PASSED
"Statement - products = new org.json.JSONArray((((((((([{""productname"":"" + productName) + "",""variation"":"") + variation) + "",""quantity"":"") + quantity) + "",""price"":"") + price) + ""}]))",Chrome 69.0.3497.100,,2018-09-20 17:24:49,2018-09-20 17:24:49,0.023s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 69.0.3497.100,,2018-09-20 17:24:49,2018-09-20 17:24:49,0.023s,PASSED
Statement - shippingLabel = FREE_EMS_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-20 17:24:49,2018-09-20 17:24:49,0.011s,PASSED
Statement - shippingPrice = 0,Chrome 69.0.3497.100,,2018-09-20 17:24:49,2018-09-20 17:24:49,0.196s,PASSED
"Statement - shippingType = ""freeEMS""",Chrome 69.0.3497.100,,2018-09-20 17:24:49,2018-09-20 17:24:49,0.029s,PASSED
