Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shop,Chrome 69.0.3497.100,,2018-09-21 15:38:04,2018-09-21 15:56:02,17m - 58.220s,FAILED
,,,,,,
Test Cases/Shop/TC03_Search_SimpleProduct_Sale_Creditcard_LessThan60_Normal,Chrome 69.0.3497.100,,2018-09-21 15:38:04,2018-09-21 15:38:51,47.013s,FAILED
Statement - productName = SIMPLE_SALE_PRODUCT,Chrome 69.0.3497.100,,2018-09-21 15:38:05,2018-09-21 15:38:05,0.078s,PASSED
"Statement - searchName = productName.substring(0, productName.indexOf(""/""))",Chrome 69.0.3497.100,,2018-09-21 15:38:05,2018-09-21 15:38:05,0.045s,PASSED
Statement - saleprice = SIMPLE_SALE_PRICE,Chrome 69.0.3497.100,,2018-09-21 15:38:05,2018-09-21 15:38:06,0.051s,PASSED
Statement - regularprice = SIMPLE_SALE_REGULAR_PRICE,Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.082s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.044s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.028s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.011s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.096s,PASSED
Statement - quantity = 1,Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.040s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, saleprice)",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.112s,PASSED
Statement - total = subtotal + SHIPPING_PRICE,Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.015s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.013s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + saleprice) + ""}]))",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.040s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.029s,PASSED
Statement - shippingLabel = SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.016s,PASSED
Statement - shippingPrice = SHIPPING_PRICE,Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.014s,PASSED
"Statement - shippingType = ""normal""",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.014s,PASSED
"Statement - paymentMethod = ""Credit Card Payment""",Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:06,0.011s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-21 15:38:06,2018-09-21 15:38:39,33.119s,PASSED
