Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Shop,Chrome 68.0.3440.106,,2018-09-14 15:35:39,2018-09-14 15:54:25,18m - 46.233s,FAILED
,,,,,,
Test Cases/Shop/TC03_Search_SimpleProduct_Sale_Creditcard_LessThan60_Normal,Chrome 68.0.3440.106,,2018-09-14 15:35:40,2018-09-14 15:38:40,3m - 0.225s,PASSED
Statement - productName = SIMPLE_SALE_PRODUCT,Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.062s,PASSED
"Statement - searchName = productName.substring(0, productName.indexOf(""/""))",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.047s,PASSED
Statement - saleprice = SIMPLE_SALE_PRICE,Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.039s,PASSED
Statement - regularprice = SIMPLE_SALE_REGULAR_PRICE,Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.027s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.062s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.085s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.045s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.094s,PASSED
Statement - quantity = 1,Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.027s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, saleprice)",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.156s,PASSED
Statement - total = subtotal + SHIPPING_PRICE,Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.023s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.019s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + saleprice) + ""}]))",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:41,0.047s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 68.0.3440.106,,2018-09-14 15:35:41,2018-09-14 15:35:42,0.030s,PASSED
Statement - shippingLabel = SHIPPING_LABEL,Chrome 68.0.3440.106,,2018-09-14 15:35:42,2018-09-14 15:35:42,0.023s,PASSED
Statement - shippingPrice = SHIPPING_PRICE,Chrome 68.0.3440.106,,2018-09-14 15:35:42,2018-09-14 15:35:42,0.015s,PASSED
"Statement - shippingType = ""normal""",Chrome 68.0.3440.106,,2018-09-14 15:35:42,2018-09-14 15:35:42,0.018s,PASSED
"Statement - paymentMethod = ""Credit Card Payment""",Chrome 68.0.3440.106,,2018-09-14 15:35:42,2018-09-14 15:35:42,0.015s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 68.0.3440.106,,2018-09-14 15:35:42,2018-09-14 15:36:17,35.369s,PASSED
beautytap.ShopAction.globalSearch,Chrome 68.0.3440.106,,2018-09-14 15:36:17,2018-09-14 15:36:25,7.687s,PASSED
beautytap.ShopAction.VerifyProductOnSearchResult,Chrome 68.0.3440.106,VP1: Verify product display in search result panel with regular price,2018-09-14 15:36:25,2018-09-14 15:36:26,1.272s,PASSED
