Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-16 16:58:10,2018-10-16 17:49:57,51m - 47.566s,FAILED
,,,,,,
Test Cases/Shop/TC09_ScheduleSale_LimitStock_SimpleProduct,Chrome 69.0.3497.100,,2018-10-16 16:58:10,2018-10-16 17:11:59,13m - 48.348s,FAILED
Statement - productName = SCHEDULE_SIMPLE_PRODUCT,Chrome 69.0.3497.100,,2018-10-16 16:58:12,2018-10-16 16:58:12,0.077s,PASSED
Statement - regularPrice = SCHEDULE_REGULAR_PRICE,Chrome 69.0.3497.100,,2018-10-16 16:58:12,2018-10-16 16:58:12,0.010s,PASSED
Statement - salePrice = SCHEDULE_SALE_PRICE,Chrome 69.0.3497.100,,2018-10-16 16:58:12,2018-10-16 16:58:12,0.017s,PASSED
Statement - quantity = 6,Chrome 69.0.3497.100,,2018-10-16 16:58:12,2018-10-16 16:58:12,0.018s,PASSED
"Statement - subtotalRegular = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, regularPrice)",Chrome 69.0.3497.100,,2018-10-16 16:58:12,2018-10-16 16:58:12,0.335s,PASSED
"Statement - subtotalSale = CustomKeywords.beautytap.ShopAction.calculateTotal(1, salePrice)",Chrome 69.0.3497.100,,2018-10-16 16:58:12,2018-10-16 16:58:13,0.094s,PASSED
"Statement - shippingType = ""free""",Chrome 69.0.3497.100,,2018-10-16 16:58:13,2018-10-16 16:58:13,0.031s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-10-16 16:58:13,2018-10-16 16:58:13,0.019s,PASSED
"Statement - shippingTypeSale = ""normal""",Chrome 69.0.3497.100,,2018-10-16 16:58:13,2018-10-16 16:58:13,0.019s,PASSED
Statement - shippingLabelSale = SHIPPING_LABEL,Chrome 69.0.3497.100,,2018-10-16 16:58:13,2018-10-16 16:58:13,0.017s,PASSED
Statement - shippingPriceSale = SHIPPING_PRICE,Chrome 69.0.3497.100,,2018-10-16 16:58:13,2018-10-16 16:58:13,0.011s,PASSED
"Statement - totalSale = java.lang.Float.parseFloat(java.lang.String.format(""%.2f"", subtotalSale + shippingPriceSale))",Chrome 69.0.3497.100,,2018-10-16 16:58:13,2018-10-16 16:58:13,0.042s,PASSED
