Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Chrome 69.0.3497.100,,2018-09-19 18:59:53,2018-09-19 19:14:32,14m - 39.530s,FAILED
,,,,,,
Test Cases/SignUp_Login_ResetPass/TC02_SignUp_Login_ViaFacebookEmail_NewUser_OldUser,Chrome 69.0.3497.100,,2018-09-19 18:59:53,2018-09-19 19:04:39,4m - 45.900s,PASSED
beautytap.AdminAction.deleteUser,Chrome 69.0.3497.100,,2018-09-19 18:59:54,2018-09-19 19:00:39,45.039s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 19:00:39,2018-09-19 19:00:58,19.039s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,SIGNUP VIA FACEBOOK NOT EXIST IN SYSTEM,2018-09-19 19:00:58,2018-09-19 19:01:01,2.540s,PASSED
beautytap.GeneralAction.signupViaFacebook,Chrome 69.0.3497.100,,2018-09-19 19:01:01,2018-09-19 19:01:29,28.012s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP1: Verify user is logged in after Signup via Facebook,2018-09-19 19:01:29,2018-09-19 19:01:29,0.070s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 19:01:29,2018-09-19 19:01:30,1.624s,PASSED
beautytap.AdminAction.deleteUser,Chrome 69.0.3497.100,LOGIN VIA FACEBOOK NOT EXIST IN SYSTEM,2018-09-19 19:01:30,2018-09-19 19:02:10,39.726s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,,2018-09-19 19:02:10,2018-09-19 19:02:29,19.278s,PASSED
beautytap.GeneralAction.clickNavigationMenu,Chrome 69.0.3497.100,,2018-09-19 19:02:29,2018-09-19 19:02:33,3.060s,PASSED
beautytap.GeneralAction.login,Chrome 69.0.3497.100,,2018-09-19 19:02:33,2018-09-19 19:02:37,4.829s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,VP2: Verify user is logged in via Facebook ,2018-09-19 19:02:37,2018-09-19 19:03:01,23.216s,PASSED
beautytap.GeneralAction.logout,Chrome 69.0.3497.100,,2018-09-19 19:03:01,2018-09-19 19:03:02,1.899s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 69.0.3497.100,SIGNUP VIA FACEBOOK ALREADY EXIST IN SYSTEM,2018-09-19 19:03:02,2018-09-19 19:03:36,33.332s,PASSED
