Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Shop/TC04_Search_VariationProduct_NotSale_AmazonPay_GreaterThan200,Chrome 68.0.3440.106,,2018-09-04 14:17:15,2018-09-04 14:18:43,1m - 27.966s,FAILED
Statement - productName = VARIATION_PRODUCT,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.029s,PASSED
Statement - price = VARIATION_PRICE1,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.011s,PASSED
Statement - variation = VARIATION_NAME1,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.007s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.007s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.006s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.006s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.007s,PASSED
Statement - quantity = 8,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.012s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, price)",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.009s,PASSED
Statement - total = subtotal,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.012s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.008s,PASSED
"Statement - products = new org.json.JSONArray((((((((([{""productname"":"" + productName) + "",""variation"":"") + variation) + "",""quantity"":"") + quantity) + "",""price"":"") + price) + ""}]))",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.009s,PASSED
